"","features","expr","time","size"
"749",8,"l1svm_their()",147232693,2250
"750",8,"l1svm_ours()",1058505080,2250
"751",8,"l2svm_their()",2328746839,2250
"752",8,"l1svm_ours()",1463511492,2250
"753",8,"l1svm_ours()",864553013,2250
"754",8,"l1svm_their()",165712787,2250
"755",8,"l2svm_their()",1610595629,2250
"756",8,"l2svm_their()",1971087482,2250
"757",8,"l2svm_their()",888760876,2500
"758",8,"l1svm_their()",105996528,2500
"759",8,"l1svm_ours()",405390856,2500
"760",8,"l1svm_ours()",574753200,2500
"761",8,"l1svm_ours()",563752809,2500
"762",8,"l1svm_their()",112268776,2500
"763",8,"l1svm_their()",115818185,2500
"764",8,"l2svm_their()",902749587,2500
"765",8,"l2svm_their()",872034217,2500
"766",8,"l1svm_ours()",979168187,2750
"767",8,"l1svm_their()",239773541,2750
"768",8,"l2svm_their()",1258595117,2750
"769",8,"l1svm_ours()",1047978738,2750
"770",8,"l1svm_their()",247172801,2750
"771",8,"l2svm_their()",1016139506,2750
"772",8,"l2svm_their()",1333121994,2750
"773",8,"l1svm_their()",253110431,2750
"774",8,"l1svm_ours()",1333611683,2750
"775",8,"l1svm_their()",241384754,3000
"776",8,"l1svm_ours()",797226338,3000
"777",8,"l1svm_their()",228285006,3000
"778",8,"l1svm_their()",209772347,3000
"779",8,"l2svm_their()",1204588936,3000
"780",8,"l1svm_ours()",813766957,3000
"781",8,"l2svm_their()",956819703,3000
"782",8,"l2svm_their()",1029319724,3000
"783",8,"l1svm_ours()",864403606,3000
"784",8,"l1svm_ours()",1171069017,3250
"785",8,"l2svm_their()",2130946848,3250
"786",8,"l2svm_their()",2915759967,3250
"787",8,"l2svm_their()",2429802358,3250
"788",8,"l1svm_their()",278517265,3250
"789",8,"l1svm_ours()",1153010728,3250
"790",8,"l1svm_their()",231016353,3250
"791",8,"l1svm_their()",247877200,3250
"792",8,"l1svm_ours()",1239471931,3250
"793",8,"l1svm_their()",305511043,3500
"794",8,"l1svm_their()",375703663,3500
"795",8,"l1svm_their()",484415185,3500
"796",8,"l1svm_ours()",1425535748,3500
"797",8,"l2svm_their()",2310321889,3500
"798",8,"l1svm_ours()",1542665150,3500
"799",8,"l1svm_ours()",1120976593,3500
"800",8,"l2svm_their()",1482148193,3500
"801",8,"l2svm_their()",1233964260,3500
"802",8,"l1svm_their()",78714942,3750
"803",8,"l2svm_their()",1280617804,3750
"804",8,"l1svm_ours()",329594426,3750
"805",8,"l2svm_their()",1039222602,3750
"806",8,"l1svm_ours()",330577821,3750
"807",8,"l2svm_their()",1553929716,3750
"808",8,"l1svm_their()",116460427,3750
"809",8,"l1svm_their()",110453384,3750
"810",8,"l1svm_ours()",316772780,3750
"811",8,"l1svm_ours()",687464956,4000
"812",8,"l1svm_their()",137970284,4000
"813",8,"l2svm_their()",845580626,4000
"814",8,"l2svm_their()",1115582971,4000
"815",8,"l1svm_ours()",710516476,4000
"816",8,"l1svm_their()",142244776,4000
"817",8,"l2svm_their()",1100992388,4000
"818",8,"l1svm_ours()",825800727,4000
"819",8,"l1svm_their()",148470971,4000
